,location,title,company,salary,summary,rating,JT
14247,"Chennai, Tamil Nadu",Senior DevOps Engineer,Workato,NA,"
You will collaborate with UI, connectivity and devops teams to come up with elegant solutions to complex problems.
5+ years of industry experience.
",NA,devops+engineer
14248,"Bengaluru, Karnataka",newSenior/Staff- Devops Engineer,Lifesight Global,NA,"
Software engineers with a bent towards Operations engineering or vice versa.
Engineers (SRE) engineers within its Big Data ecosystem to build the next…
",NA,devops+engineer
14249,"Pune, Maharashtra",Senior DevOps Engineer,Cyara,NA,"
Through automated testing and monitoring, Cyara accelerates the delivery of flawless customer journeys across digital and voice channels while reducing the risk…
",NA,devops+engineer
14250,"Chennai, Tamil Nadu",newLead Analyst - Azure DevOps,CGI Inc,NA,"
Experience - 7 to 10 Years (Azure DevOps Engineer 3- 5 yrs).
Should have minimum 2 to 4 years as Senior Developer Engineer working on Azure DevOps tools.
",3.6,devops+engineer
14251,"Delhi, Delhi+2 locations",Devops Engineer,HR Devi and Associates,"₹5,00,000 - ₹6,00,000 a year","
As a high caliber DevOps Engineer, you will be responsible for supporting the Build and Release Automation for the various Applications and operations.
",NA,devops+engineer
14252,"Hyderabad, Telangana",DevOps Engineer,ADCI HYD 13 SEZ,NA,"
2+ years of development or technical support experience.
Experience troubleshooting and debugging technical systems.
BS in Computer Science or a related field.
",3.5,devops+engineer
14253,"Hyderabad, Telangana",Dev Ops Engineer,ADCI HYD 13 SEZ,NA,"
This engineer will collaborate with business teams, program/project management teams, and software engineering teams to help articulate amazon fulfillment…
",3.5,devops+engineer
14254,"Remote in Chandigarh, Chandigarh",Devops Engineer,iNVERTEDi IT Consultancy Pvt Ltd,NA,"
A highly skilled engineer with strong skills in IT Operations.
The role would efficiently design and deploy technical Azure DevOps pipelines that would…
",3.0,devops+engineer
14255,"Pune, Maharashtra",Cloud and DevOps Engineer (5-8 years),Siemens,NA,"
You will be Responsible to Define, implement, deploy and maintain development, staging & production environments for cloud-based (Amazon Web Services, AWS)…
",4.0,devops+engineer
14256,"Bengaluru, Karnataka",Azure DevOps Engineer,Mobile Programming LLC,"₹5,00,000 - ₹13,00,000 a year","4+yrs Experience required in Azure Location can be Bengaluru, Chennai, Pune, Gurugram, Mohali, Dehradun Job Type: Full-time Salary: ₹500,000.00 - ₹1,300,000…",NA,devops+engineer
14257,"Chennai, Tamil Nadu+1 location",Devops Engineer,Six Sigma,"₹35,834 a month","
Experience - Minimum No.Of Years 3.0.
Experience - Maximum No.Of Years 3.0.
",3.6,devops+engineer
14258,"Hyderabad, Telangana",Lead AWS DevOps Engineer,Experian,NA,"
The Lead AWS Dev Ops Engineer is a hands-on technical position responsible for architecting, designing and implementing enhancements, extensions, and…
",3.6,devops+engineer
14259,Remote,BigData DevOps Infrastructure Engineer,"Zoom Video Communications, Inc.",NA,"
Daily operational tasks on BigData platform including troubleshooting and deployment tasks.
Production environment support to BigData team members.
",NA,devops+engineer
14260,"Bengaluru, Karnataka",DevOps Engineer,Samniya,NA,"
Skills - Embedded C, device drivers,Micro Controller,Adaptive AUTOSAR,Tool Chain,Java, Groovy and Bash,Tresos,Github,Jenkins,GNU,Python,agile,scrum.
",NA,devops+engineer
14261,"Bengaluru, Karnataka",newDevOps Engineer I/II- Productions operations,Zeta,NA,"
Deploy and manage Containers orchestration, Service mesh, API gateways, CI/CD components & Observability stacks.
2+ years of relevant work experience.
",3.9,devops+engineer
14262,"Hyderabad, Telangana",Senior Devops Engineer,Menlo Technologies,NA,"
Extensive background in Linux system administration.
Strong experience with environment and deployment automation.
Cloud formation, Puppet, Chef, and Ansible.
",NA,devops+engineer
14263,"Noida, Uttar Pradesh",DevOps Engineer,Gortnm Innovations Pvt Ltd,"₹20,000 - ₹30,000 a month","
Build standards, patterns, and tools that help engineers in other squads make effective use of infrastructure;
Job Types: Full-time, Regular / Permanent.
",NA,devops+engineer
14264,"Ahmedabad, Gujarat",DevOps Engineer,Swaraa Tech Solutions,NA,"
Assist other department engineers in creating practical demonstrations of proposed solutions and demonstrating them to other members of the team.
",NA,devops+engineer
14265,"Ahmedabad, Gujarat",DevOps Engineer,AIPXPERTS TECHNOLABS,NA,"
Must have knowledge and experience configuring and executing CI/CD Pipelines.
Must have experience working on Ubuntu, Linux-based infrastructure.
",NA,devops+engineer
14266,Temporarily Remote in India,Senior DevOps Engineer,Wingify Software Pvt. Ltd.,NA,"
Bachelor’s/Master’s degree in computer science or related field.
4-6 years of experience in working with production systems and software engineering.
",NA,devops+engineer
14267,"Hyderabad, Telangana",Devops Engineer,Atmecs,NA,"
You must possess a high standard of excellence, solid written and verbal communication skills, have a strong customer focus, and be capable of technical.
",NA,devops+engineer
14268,"Bengaluru, Karnataka",Devops Lead Engineer,Laminaar Aviation Infotech,NA,"
Educational Qualification: Bachelors/ Masters Degree in Information Technology, Computer Science or Engineering.
",NA,devops+engineer
14269,"Chennai, Tamil Nadu",AWS DevOps Engineer | Java/Springboot DevOps | Chennai | Tra...,Photon,NA,"
4-6 years of experience as a full-stack engineer – (Java/ Springboot language).
4-6 years of experience with scripting languages such as Python, Ruby, Groovy.
",3.5,devops+engineer
14270,"Mumbai, Maharashtra",Lead Devops Engineer,Crimson Interactive,NA,"
Experience with using a broad range of AWS technologies (e.g. EC2, RDS, ELB, EBD, S3, VPC, IAM, CloudWatch, KMS) to develop and maintain an Amazon AWS based…
",3.1,devops+engineer
14271,"Bengaluru, Karnataka",newSenior Software Engineer - Devops Developer,CGI Inc,NA,"
Monitor and troubleshoot kubernetes pods that are highly available, scalable, and self-healing in Azure and AWS.
",3.6,devops+engineer
14272,"Noida, Uttar Pradesh",DevOps Engineer,Foxit eSign,NA,"
The candidate must have overall 4+ years of experience.
Must have experience in: AWS, Docker, Kubernetes, Cloud Formation, Terraform, Scripting, Logs Management…
",NA,devops+engineer
14273,"Bengaluru, Karnataka",newDevOps Engineer (GTS) - Engineer II,FICO,NA,"
Collaborate with other engineers on design, analysis, architecture/modeling, implementation, unit testing, code reviews and process enhancements.
",3.6,devops+engineer
14274,Maharashtra,DevOps Engineer,SailPoint,NA,"
Strong interpersonal and teaming skills - ability to set and enforce process and influence engineers who are not direct reports.
",4.1,devops+engineer
14275,"Vadodara, Gujarat",newDev Ops Engineer,Intricare Technologies,NA,"
Planning the team structure, activities, and involvement in project management activities.
Managing stakeholders and external interfaces.
",4.5,devops+engineer
14276,"Hyderabad, Telangana",ONSITE | Tibco iProcess & Devops Engineer,Squalas,NA,"
We have an opening in EUROPE where the client is looking for a longterm DevOps position with good Tibco iProcess track of record.
",NA,devops+engineer
14277,"Pune, Maharashtra",Azure DevOps Engineer,Splashgain,NA,"
Deep understanding of the Software Development Lifecycle.
Working Knowledge of Azure Build Pipelines, Cloud structure, virtual machine, App Services is…
",NA,devops+engineer
14278,"New Delhi, Delhi",Devops Engineer,TLC,NA,"
Provide solutions to implement Continuous integration & continuous deployment solutions for the project.
Install and optimizing tools on cloud infrastructure…
",3.6,devops+engineer
14279,"Pune, Maharashtra",DevOps Engineer,SAS Institute Inc,NA,"
You will help with the deployment of SAS software developed and ready for cloud, you will be joining a friendly team with a broad range of experience.
",NA,devops+engineer
14280,"Ahmedabad, Gujarat",DevOps Engineer,Green Apex Technolabs LLP,"₹16,421 - ₹62,000 a month","
Working with software developers and software engineers to ensure that development follows established processes and works as intended.
",NA,devops+engineer
14281,"Mumbai, Maharashtra",Senior Devops Engineer,mediaagility,NA,"
B.Tech/BE degree in IT/Computer Science or equivalent work experience.
Test, build, design, deployment, and ability to maintain continuous integration and…
",3.5,devops+engineer
14282,"Gurgaon, Haryana",DevOps Engineer,Daffodil Software,NA,"
Implement best practices for code management, build, deploy and release across multiple teams/products in CI /CD model.
",3.9,devops+engineer
14283,"Mumbai, Maharashtra",DevOps Engineer,Numerix Singapore Pte Ltd,NA,"
Collaborate with other engineers and analysts on design, task sharing, and problem solving.
Manage production, pre-production and non-production environments…
",NA,devops+engineer
14284,"Kolkata, West Bengal",Senior DevOps Engineer,Interra IT,NA,"
At least 4-year experience as an AWS DevOps engineer.
Proactive ownership and problem-solving attitude.
Must be a good communicator to ensure proper daily…
",3.0,devops+engineer
14285,"Bengaluru, Karnataka","Support(DevOps) Engineer, Datapath",ADCI - Karnataka,NA,"
DevOps / Engineering background with 1+ years of industry experience.
The ability to program to solve problems and automate repetitive tasks in common scripting…
",3.5,devops+engineer
14286,"Chennai, Tamil Nadu",DevOps Engineer (Operating Systems),PayPal,NA,"
Good experience working with engineers distributed across geographies and timezones; ability to naturally lead and collaborate across very diverse teams.
",3.9,devops+engineer
14287,"Mohali, Punjab",DevOps Engineer,Anviam Solutions Pvt Limited,NA,"
We are looking for a DevOps Engineer to help us build functional systems that improve customer experience.
Strong hands-on knowledge of setting up production,…
",NA,devops+engineer
14288,"Navi Mumbai, Maharashtra",Senior Engineer DevOps,Reserve Bank Information Technology Private...,NA,"
Configure server images, optimize the task performance in correspondence with the engineers.
The role is part of Project Management vertical.
",NA,devops+engineer
14289,"Gurgaon, Haryana",DevOps Engineer,ColoredCow,NA,"
This platform will allow NGOs to focus on their root cause activities so that their work can have a larger impact.
Work during the day and read by night.
",NA,devops+engineer
14290,"Hyderabad, Telangana",DeVops- Analyst/Sr. Anlayst,Deloitte,NA,"
Candidates with awareness of Azure cloud services, DevOps practices such as build/release management and general automation are preferred.
",4.0,devops+engineer
14291,"Remote in Gurgaon, Haryana",AWS / DevOPS Engineer,Swaran Soft Support Solutions,NA,"
Employment Type:- Full Time, Permanent.
The AWS Cloud/Devops Engineer will be working with the engineering team and focusing on AWS infrastructure and…
",NA,devops+engineer
14292,"Kochi, Kerala",DevOps Engineer,CCS Technologies,NA,"
3-6 years of experience with technologies like AWS/Azure/GCP, Relational or NoSQL Databases, micro services.
Design & Develop Software Delivery mechanism (CI/CD…
",3.9,devops+engineer
14293,"Gurgaon, Haryana",DevOps Engineer,ZM Financial Systems,NA,"
Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others.
",NA,devops+engineer
14294,"Chennai, Tamil Nadu","Software Development Engineer – Applications, DevOps",ViaSat,NA,"
You are a capable self-starter, self-motivated software engineer, focused in software development methods including Agile/Scrum.
",3.7,devops+engineer
14295,"Chennai, Tamil Nadu",Senior DevOps Engineer,Workato,NA,"
You will collaborate with UI, connectivity and devops teams to come up with elegant solutions to complex problems.
5+ years of industry experience.
",NA,devops+engineer
14296,"Bengaluru, Karnataka",newSenior/Staff- Devops Engineer,Lifesight Global,NA,"
Software engineers with a bent towards Operations engineering or vice versa.
Engineers (SRE) engineers within its Big Data ecosystem to build the next…
",NA,devops+engineer
14297,"Pune, Maharashtra",Senior DevOps Engineer,Cyara,NA,"
Through automated testing and monitoring, Cyara accelerates the delivery of flawless customer journeys across digital and voice channels while reducing the risk…
",NA,devops+engineer
14298,"Chennai, Tamil Nadu",newLead Analyst - Azure DevOps,CGI Inc,NA,"
Experience - 7 to 10 Years (Azure DevOps Engineer 3- 5 yrs).
Should have minimum 2 to 4 years as Senior Developer Engineer working on Azure DevOps tools.
",3.6,devops+engineer
14299,"Delhi, Delhi+2 locations",Devops Engineer,HR Devi and Associates,"₹5,00,000 - ₹6,00,000 a year","
As a high caliber DevOps Engineer, you will be responsible for supporting the Build and Release Automation for the various Applications and operations.
",NA,devops+engineer
14300,"Hyderabad, Telangana",DevOps Engineer,ADCI HYD 13 SEZ,NA,"
2+ years of development or technical support experience.
Experience troubleshooting and debugging technical systems.
BS in Computer Science or a related field.
",3.5,devops+engineer
14301,"Bengaluru, Karnataka","Principal Engineer, DevOPs",BAXTER,NA,"
Mentor and train other engineers throughout the company and seek to continually improve processes companywide.
10-15 years experience as DevOps Engineer.
",3.8,devops+engineer
14302,"Pune, Maharashtra","Jr Associate, DevOps Engineer_125331",Convera,NA,"
Developing and implementing new software, maintaining and improve existing software.
Ensuring that software functionality is implemented with a focus on code…
",NA,devops+engineer
14303,"Bengaluru, Karnataka",Senior DevOps Engineer,Xactly Corporation,NA,"
Xactly takes Sales Performance Management from a dark art to a science, providing decision-makers with the data insights they need to tap the motivational power…
",3.5,devops+engineer
14304,"Panchkula, Haryana",AWS Cloud Engineer/ DevOps,Uengage Services,NA,"
Monitoring, understanding and scaling the cloud infrastructure.
Handling managing nginx web server.
Manage Databases such as MySQL, NoSQL, Elasticsearch, Redis…
",NA,devops+engineer
14305,"Hyderabad, Telangana",Dev Ops Engineer,ADCI HYD 13 SEZ,NA,"
This engineer will collaborate with business teams, program/project management teams, and software engineering teams to help articulate amazon fulfillment…
",3.5,devops+engineer
14306,"Remote in Chandigarh, Chandigarh",Devops Engineer,iNVERTEDi IT Consultancy Pvt Ltd,NA,"
A highly skilled engineer with strong skills in IT Operations.
The role would efficiently design and deploy technical Azure DevOps pipelines that would…
",3.0,devops+engineer
14307,"Pune, Maharashtra",Cloud and DevOps Engineer (5-8 years),Siemens,NA,"
You will be Responsible to Define, implement, deploy and maintain development, staging & production environments for cloud-based (Amazon Web Services, AWS)…
",4.0,devops+engineer
14308,"Bengaluru, Karnataka",Azure DevOps Engineer,Mobile Programming LLC,"₹5,00,000 - ₹13,00,000 a year","4+yrs Experience required in Azure Location can be Bengaluru, Chennai, Pune, Gurugram, Mohali, Dehradun Job Type: Full-time Salary: ₹500,000.00 - ₹1,300,000…",NA,devops+engineer
14309,"Chennai, Tamil Nadu+1 location",Devops Engineer,Six Sigma,"₹35,834 a month","
Experience - Minimum No.Of Years 3.0.
Experience - Maximum No.Of Years 3.0.
",3.6,devops+engineer
14310,"Hyderabad, Telangana",Lead AWS DevOps Engineer,Experian,NA,"
The Lead AWS Dev Ops Engineer is a hands-on technical position responsible for architecting, designing and implementing enhancements, extensions, and…
",3.6,devops+engineer
14311,Remote,BigData DevOps Infrastructure Engineer,"Zoom Video Communications, Inc.",NA,"
Daily operational tasks on BigData platform including troubleshooting and deployment tasks.
Production environment support to BigData team members.
",NA,devops+engineer
14312,"Bengaluru, Karnataka",DevOps Engineer,Samniya,NA,"
Skills - Embedded C, device drivers,Micro Controller,Adaptive AUTOSAR,Tool Chain,Java, Groovy and Bash,Tresos,Github,Jenkins,GNU,Python,agile,scrum.
",NA,devops+engineer
14313,"Bengaluru, Karnataka",newDevOps Engineer I/II- Productions operations,Zeta,NA,"
Deploy and manage Containers orchestration, Service mesh, API gateways, CI/CD components & Observability stacks.
2+ years of relevant work experience.
",3.9,devops+engineer
14314,"Hyderabad, Telangana",Senior Devops Engineer,Menlo Technologies,NA,"
Extensive background in Linux system administration.
Strong experience with environment and deployment automation.
Cloud formation, Puppet, Chef, and Ansible.
",NA,devops+engineer
14315,"Noida, Uttar Pradesh",DevOps Engineer,Gortnm Innovations Pvt Ltd,"₹20,000 - ₹30,000 a month","
Build standards, patterns, and tools that help engineers in other squads make effective use of infrastructure;
Job Types: Full-time, Regular / Permanent.
",NA,devops+engineer
14316,"Ahmedabad, Gujarat",DevOps Engineer,Swaraa Tech Solutions,NA,"
Assist other department engineers in creating practical demonstrations of proposed solutions and demonstrating them to other members of the team.
",NA,devops+engineer
14317,"Ahmedabad, Gujarat",DevOps Engineer,AIPXPERTS TECHNOLABS,NA,"
Must have knowledge and experience configuring and executing CI/CD Pipelines.
Must have experience working on Ubuntu, Linux-based infrastructure.
",NA,devops+engineer
14318,Temporarily Remote in India,Senior DevOps Engineer,Wingify Software Pvt. Ltd.,NA,"
Bachelor’s/Master’s degree in computer science or related field.
4-6 years of experience in working with production systems and software engineering.
",NA,devops+engineer
14319,"Hyderabad, Telangana",Devops Engineer,Atmecs,NA,"
You must possess a high standard of excellence, solid written and verbal communication skills, have a strong customer focus, and be capable of technical.
",NA,devops+engineer
14320,"Bengaluru, Karnataka",Devops Lead Engineer,Laminaar Aviation Infotech,NA,"
Educational Qualification: Bachelors/ Masters Degree in Information Technology, Computer Science or Engineering.
",NA,devops+engineer
14321,"Chennai, Tamil Nadu",AWS DevOps Engineer | Java/Springboot DevOps | Chennai | Tra...,Photon,NA,"
4-6 years of experience as a full-stack engineer – (Java/ Springboot language).
4-6 years of experience with scripting languages such as Python, Ruby, Groovy.
",3.5,devops+engineer
14322,"Mumbai, Maharashtra",Lead Devops Engineer,Crimson Interactive,NA,"
Experience with using a broad range of AWS technologies (e.g. EC2, RDS, ELB, EBD, S3, VPC, IAM, CloudWatch, KMS) to develop and maintain an Amazon AWS based…
",3.1,devops+engineer
14323,"Bengaluru, Karnataka",newSenior Software Engineer - Devops Developer,CGI Inc,NA,"
Monitor and troubleshoot kubernetes pods that are highly available, scalable, and self-healing in Azure and AWS.
",3.6,devops+engineer
14324,"Noida, Uttar Pradesh",DevOps Engineer,Foxit eSign,NA,"
The candidate must have overall 4+ years of experience.
Must have experience in: AWS, Docker, Kubernetes, Cloud Formation, Terraform, Scripting, Logs Management…
",NA,devops+engineer
14325,"Bengaluru, Karnataka",newDevOps Engineer (GTS) - Engineer II,FICO,NA,"
Collaborate with other engineers on design, analysis, architecture/modeling, implementation, unit testing, code reviews and process enhancements.
",3.6,devops+engineer
14326,Maharashtra,DevOps Engineer,SailPoint,NA,"
Strong interpersonal and teaming skills - ability to set and enforce process and influence engineers who are not direct reports.
",4.1,devops+engineer
14327,"Vadodara, Gujarat",newDev Ops Engineer,Intricare Technologies,NA,"
Planning the team structure, activities, and involvement in project management activities.
Managing stakeholders and external interfaces.
",4.5,devops+engineer
14328,"Hyderabad, Telangana",ONSITE | Tibco iProcess & Devops Engineer,Squalas,NA,"
We have an opening in EUROPE where the client is looking for a longterm DevOps position with good Tibco iProcess track of record.
",NA,devops+engineer
14329,"Pune, Maharashtra",Azure DevOps Engineer,Splashgain,NA,"
Deep understanding of the Software Development Lifecycle.
Working Knowledge of Azure Build Pipelines, Cloud structure, virtual machine, App Services is…
",NA,devops+engineer
14330,"New Delhi, Delhi",Devops Engineer,TLC,NA,"
Provide solutions to implement Continuous integration & continuous deployment solutions for the project.
Install and optimizing tools on cloud infrastructure…
",3.6,devops+engineer
14331,"Pune, Maharashtra",DevOps Engineer,SAS Institute Inc,NA,"
You will help with the deployment of SAS software developed and ready for cloud, you will be joining a friendly team with a broad range of experience.
",NA,devops+engineer
14332,"Ahmedabad, Gujarat",DevOps Engineer,Green Apex Technolabs LLP,"₹16,421 - ₹62,000 a month","
Working with software developers and software engineers to ensure that development follows established processes and works as intended.
",NA,devops+engineer
14333,"Mumbai, Maharashtra",Senior Devops Engineer,mediaagility,NA,"
B.Tech/BE degree in IT/Computer Science or equivalent work experience.
Test, build, design, deployment, and ability to maintain continuous integration and…
",3.5,devops+engineer
14334,"Gurgaon, Haryana",DevOps Engineer,Daffodil Software,NA,"
Implement best practices for code management, build, deploy and release across multiple teams/products in CI /CD model.
",3.9,devops+engineer
14335,"Mumbai, Maharashtra",DevOps Engineer,Numerix Singapore Pte Ltd,NA,"
Collaborate with other engineers and analysts on design, task sharing, and problem solving.
Manage production, pre-production and non-production environments…
",NA,devops+engineer
14336,"Kolkata, West Bengal",Senior DevOps Engineer,Interra IT,NA,"
At least 4-year experience as an AWS DevOps engineer.
Proactive ownership and problem-solving attitude.
Must be a good communicator to ensure proper daily…
",3.0,devops+engineer
14337,"Bengaluru, Karnataka","Support(DevOps) Engineer, Datapath",ADCI - Karnataka,NA,"
DevOps / Engineering background with 1+ years of industry experience.
The ability to program to solve problems and automate repetitive tasks in common scripting…
",3.5,devops+engineer
14338,"Chennai, Tamil Nadu",DevOps Engineer (Operating Systems),PayPal,NA,"
Good experience working with engineers distributed across geographies and timezones; ability to naturally lead and collaborate across very diverse teams.
",3.9,devops+engineer
14339,"Mohali, Punjab",DevOps Engineer,Anviam Solutions Pvt Limited,NA,"
We are looking for a DevOps Engineer to help us build functional systems that improve customer experience.
Strong hands-on knowledge of setting up production,…
",NA,devops+engineer
14340,"Navi Mumbai, Maharashtra",Senior Engineer DevOps,Reserve Bank Information Technology Private...,NA,"
Configure server images, optimize the task performance in correspondence with the engineers.
The role is part of Project Management vertical.
",NA,devops+engineer
14341,"Gurgaon, Haryana",DevOps Engineer,ColoredCow,NA,"
This platform will allow NGOs to focus on their root cause activities so that their work can have a larger impact.
Work during the day and read by night.
",NA,devops+engineer
14342,"Bengaluru, Karnataka",Engineer Devops - I/II,lululemon India Tech Hub,NA,"
Through the Hub, we will expand our capabilities in Product Systems, Merchandising and Planning, Digital Presence, Distribution and Logistics, and Corporate…
",NA,devops+engineer
14343,"Hyderabad, Telangana",DeVops- Analyst/Sr. Anlayst,Deloitte,NA,"
Candidates with awareness of Azure cloud services, DevOps practices such as build/release management and general automation are preferred.
",4.0,devops+engineer
14344,"Remote in Gurgaon, Haryana",AWS / DevOPS Engineer,Swaran Soft Support Solutions,NA,"
Employment Type:- Full Time, Permanent.
The AWS Cloud/Devops Engineer will be working with the engineering team and focusing on AWS infrastructure and…
",NA,devops+engineer
14345,"Kochi, Kerala",DevOps Engineer,CCS Technologies,NA,"
3-6 years of experience with technologies like AWS/Azure/GCP, Relational or NoSQL Databases, micro services.
Design & Develop Software Delivery mechanism (CI/CD…
",3.9,devops+engineer
14346,"Gurgaon, Haryana",DevOps Engineer,ZM Financial Systems,NA,"
Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others.
",NA,devops+engineer
14347,"Chennai, Tamil Nadu","Software Development Engineer – Applications, DevOps",ViaSat,NA,"
You are a capable self-starter, self-motivated software engineer, focused in software development methods including Agile/Scrum.
",3.7,devops+engineer
14348,"Chennai, Tamil Nadu",Senior DevOps Engineer,Workato,NA,"
You will collaborate with UI, connectivity and devops teams to come up with elegant solutions to complex problems.
5+ years of industry experience.
",NA,devops+engineer
14349,"Bengaluru, Karnataka",newSenior/Staff- Devops Engineer,Lifesight Global,NA,"
Software engineers with a bent towards Operations engineering or vice versa.
Engineers (SRE) engineers within its Big Data ecosystem to build the next…
",NA,devops+engineer
14350,"Pune, Maharashtra",Senior DevOps Engineer,Cyara,NA,"
Through automated testing and monitoring, Cyara accelerates the delivery of flawless customer journeys across digital and voice channels while reducing the risk…
",NA,devops+engineer
14351,"Chennai, Tamil Nadu",newLead Analyst - Azure DevOps,CGI Inc,NA,"
Experience - 7 to 10 Years (Azure DevOps Engineer 3- 5 yrs).
Should have minimum 2 to 4 years as Senior Developer Engineer working on Azure DevOps tools.
",3.6,devops+engineer
14352,"Delhi, Delhi+2 locations",Devops Engineer,HR Devi and Associates,"₹5,00,000 - ₹6,00,000 a year","
As a high caliber DevOps Engineer, you will be responsible for supporting the Build and Release Automation for the various Applications and operations.
",NA,devops+engineer
14353,"Bengaluru, Karnataka",Senior DevOps Engineer,Xactly Corporation,NA,"
Xactly takes Sales Performance Management from a dark art to a science, providing decision-makers with the data insights they need to tap the motivational power…
",3.5,devops+engineer
14354,"Panchkula, Haryana",AWS Cloud Engineer/ DevOps,Uengage Services,NA,"
Monitoring, understanding and scaling the cloud infrastructure.
Handling managing nginx web server.
Manage Databases such as MySQL, NoSQL, Elasticsearch, Redis…
",NA,devops+engineer
14355,"Hyderabad, Telangana",Dev Ops Engineer,ADCI HYD 13 SEZ,NA,"
This engineer will collaborate with business teams, program/project management teams, and software engineering teams to help articulate amazon fulfillment…
",3.5,devops+engineer
14356,"Remote in Chandigarh, Chandigarh",Devops Engineer,iNVERTEDi IT Consultancy Pvt Ltd,NA,"
A highly skilled engineer with strong skills in IT Operations.
The role would efficiently design and deploy technical Azure DevOps pipelines that would…
",3.0,devops+engineer
14357,"Pune, Maharashtra",Cloud and DevOps Engineer (5-8 years),Siemens,NA,"
You will be Responsible to Define, implement, deploy and maintain development, staging & production environments for cloud-based (Amazon Web Services, AWS)…
",4.0,devops+engineer
14358,"Bengaluru, Karnataka",Azure DevOps Engineer,Mobile Programming LLC,"₹5,00,000 - ₹13,00,000 a year","4+yrs Experience required in Azure Location can be Bengaluru, Chennai, Pune, Gurugram, Mohali, Dehradun Job Type: Full-time Salary: ₹500,000.00 - ₹1,300,000…",NA,devops+engineer
14359,"Chennai, Tamil Nadu+1 location",Devops Engineer,Six Sigma,"₹35,834 a month","
Experience - Minimum No.Of Years 3.0.
Experience - Maximum No.Of Years 3.0.
",3.6,devops+engineer
14360,"Hyderabad, Telangana",Lead AWS DevOps Engineer,Experian,NA,"
The Lead AWS Dev Ops Engineer is a hands-on technical position responsible for architecting, designing and implementing enhancements, extensions, and…
",3.6,devops+engineer
14361,Remote,BigData DevOps Infrastructure Engineer,"Zoom Video Communications, Inc.",NA,"
Daily operational tasks on BigData platform including troubleshooting and deployment tasks.
Production environment support to BigData team members.
",NA,devops+engineer
14362,"Bengaluru, Karnataka",DevOps Engineer,Samniya,NA,"
Skills - Embedded C, device drivers,Micro Controller,Adaptive AUTOSAR,Tool Chain,Java, Groovy and Bash,Tresos,Github,Jenkins,GNU,Python,agile,scrum.
",NA,devops+engineer
14363,"Bengaluru, Karnataka",newDevOps Engineer I/II- Productions operations,Zeta,NA,"
Deploy and manage Containers orchestration, Service mesh, API gateways, CI/CD components & Observability stacks.
2+ years of relevant work experience.
",3.9,devops+engineer
14364,"Hyderabad, Telangana",Senior Devops Engineer,Menlo Technologies,NA,"
Extensive background in Linux system administration.
Strong experience with environment and deployment automation.
Cloud formation, Puppet, Chef, and Ansible.
",NA,devops+engineer
14365,"Noida, Uttar Pradesh",DevOps Engineer,Gortnm Innovations Pvt Ltd,"₹20,000 - ₹30,000 a month","
Build standards, patterns, and tools that help engineers in other squads make effective use of infrastructure;
Job Types: Full-time, Regular / Permanent.
",NA,devops+engineer
14366,"Ahmedabad, Gujarat",DevOps Engineer,Swaraa Tech Solutions,NA,"
Assist other department engineers in creating practical demonstrations of proposed solutions and demonstrating them to other members of the team.
",NA,devops+engineer
14367,"Ahmedabad, Gujarat",DevOps Engineer,AIPXPERTS TECHNOLABS,NA,"
Must have knowledge and experience configuring and executing CI/CD Pipelines.
Must have experience working on Ubuntu, Linux-based infrastructure.
",NA,devops+engineer
14368,Temporarily Remote in India,Senior DevOps Engineer,Wingify Software Pvt. Ltd.,NA,"
Bachelor’s/Master’s degree in computer science or related field.
4-6 years of experience in working with production systems and software engineering.
",NA,devops+engineer
14369,"Hyderabad, Telangana",Devops Engineer,Atmecs,NA,"
You must possess a high standard of excellence, solid written and verbal communication skills, have a strong customer focus, and be capable of technical.
",NA,devops+engineer
14370,"Bengaluru, Karnataka",Devops Lead Engineer,Laminaar Aviation Infotech,NA,"
Educational Qualification: Bachelors/ Masters Degree in Information Technology, Computer Science or Engineering.
",NA,devops+engineer
14371,"Chennai, Tamil Nadu",AWS DevOps Engineer | Java/Springboot DevOps | Chennai | Tra...,Photon,NA,"
4-6 years of experience as a full-stack engineer – (Java/ Springboot language).
4-6 years of experience with scripting languages such as Python, Ruby, Groovy.
",3.5,devops+engineer
14372,"Mumbai, Maharashtra",Lead Devops Engineer,Crimson Interactive,NA,"
Experience with using a broad range of AWS technologies (e.g. EC2, RDS, ELB, EBD, S3, VPC, IAM, CloudWatch, KMS) to develop and maintain an Amazon AWS based…
",3.1,devops+engineer
14373,"Bengaluru, Karnataka",newSenior Software Engineer - Devops Developer,CGI Inc,NA,"
Monitor and troubleshoot kubernetes pods that are highly available, scalable, and self-healing in Azure and AWS.
",3.6,devops+engineer
14374,"Noida, Uttar Pradesh",DevOps Engineer,Foxit eSign,NA,"
The candidate must have overall 4+ years of experience.
Must have experience in: AWS, Docker, Kubernetes, Cloud Formation, Terraform, Scripting, Logs Management…
",NA,devops+engineer
14375,"Bengaluru, Karnataka",newDevOps Engineer (GTS) - Engineer II,FICO,NA,"
Collaborate with other engineers on design, analysis, architecture/modeling, implementation, unit testing, code reviews and process enhancements.
",3.6,devops+engineer
