,location,title,company,salary,summary,rating,clean_location,clean_title
0,"Bengaluru, Karnataka",Data Scientist,Applied Materials Inc.,"₹5,26,846 - ₹17,85,107 a year","
Acquire, cleanse, organize and mine massive volumes of data (sensor/system log) using custom scripts Learn, understand and apply customer data in statistical…
",3.9,"Bengaluru, Karnataka",Data Scientist
1,"Bengaluru, Karnataka",Senior Data Scientist,CORESTRAT LABS PRIVATE LIMITED,"₹30,00,000 a year","
Collaborate to enhance data infrastructure and build a seamless research platform.
Deliver real impact to the product through rigorous data-driven solutions.
",,"Bengaluru, Karnataka",Senior Data Scientist
2,"Bengaluru, Karnataka",Data Scientist - SQL Queries,Talent500,,"
You execute deep & complex quantitative analyses that translate data into actionable insights.
As a Lead Business Analyst, you are expected to have a top-down…
",,"Bengaluru, Karnataka",Data Scientist SQL Queries
3,"Remote in Bengaluru, Karnataka",newData Scientist - GoFood,GO-JEK,,"
Working alongside fellow analysts, scientists, Product managers and Business, you will be instrumental in helping our stakeholders make data-driven decisions by…
",,"Bengaluru, Karnataka",Data Scientist GoFood
4,"Bengaluru, Karnataka",newData Scientist,Zipcar,,"
Develops a mastery of complex data sources by collaborating with data partners to improve and expand the teams access to internal and external third-party data.
",,"Bengaluru, Karnataka",Data Scientist
5,"Bengaluru, Karnataka",newAnalytics Data Scientist,IBM,,"
Consolidate data sets to improve reporting and analysis.
Build data-driven products and experiences that help our customers and directly impact their essential…
",3.9,"Bengaluru, Karnataka",Analytics Data Scientist
6,"Chennai, Tamil Nadu",Senior Data scientist,ZF,,"
Identify and propose data driven insights from automotive data which can help business to add value to ZF’s customers for existing products.
",3.9,"Chennai, Tamil Nadu",Senior Data scientist
7,"Mumbai, Maharashtra",newData Scientist,UPL ltd,,"
Collaborate with senior data scientists in building and delivering analytics models.
Understanding of data engineering techniques and concepts like pilot…
",4.0,"Mumbai, Maharashtra",Data Scientist
8,"Bengaluru, Karnataka",Data Scientist,Great Learning,"₹10,00,000 a year","
Experience in using jupyter notebooks and Python to manipulate data and draw insights from large data sets.
Create unique learning experiences that enable Great…
",3.7,"Bengaluru, Karnataka",Data Scientist
9,"Hyderabad, Telangana",newAssociate Data Scientist,Gramener,,"
Feel the thrill of using data to tell stories.
Learn the ropes of converting Data Problems to Data Answers using AI/ML.
Any graduate or final year student.
",4.3,"Hyderabad, Telangana",Associate Data Scientist
10,"Bengaluru, Karnataka",Senior Data Scientist,GE Healthcare,,"
The Advanced Technology Group is focused on signal and image processing for Ultrasound, MRI, CT, X-ray and Physiological Monitoring data as well as real time…
",3.9,"Bengaluru, Karnataka",Senior Data Scientist
11,Remote,newData Scientist,MNR Solutions Pvt. Ltd.,,"
4+ years’ *relevant* experience in data science, supervised and unsupervised learning, including advanced pattern recognition and predictive modelling…
",,,Data Scientist
12,"Bengaluru, Karnataka",Data Scientist,Happay,"₹8,00,000 - ₹12,00,000 a year","
1-2 Years as a data scientist, machine learning engineer, data analyst.
You must be highly comfortable with data manipulation and will be required to write data…
",,"Bengaluru, Karnataka",Data Scientist
13,"Noida, Uttar Pradesh",newSenior Data Scientist,Jorie Healthcare Partners,"₹7,00,000 - ₹15,00,000 a year","
Has *expertise in implementing complex statistical analyses* for data processing, exploration, model building and implementation.
",,"Noida, Uttar Pradesh",Senior Data Scientist
14,"Gurgaon, Haryana",newJunior Data Scientist,momspresso,"₹10,00,000 - ₹20,00,000 a year","
Develop custom data models and algorithms to apply to data sets.
Technical expertise with data models, data mining, and segmentation techniques.
",,"Gurgaon, Haryana",Junior Data Scientist
15,"Gurgaon, Haryana",newData Science,Airtel India,,"At Airtel X Labs, our work fundamentally transforms the way people communicate and businesses operate. Since our early days in the mobile era, we have rallied…",4.1,"Gurgaon, Haryana",Data Science
16,"Bengaluru, Karnataka+1 location",newData Scientist: Advanced Analytics,IBM,,"
5+ years of data engineering and data science experience.
Implement quantum approaches, which includes data pre-/post-processing, running numerics and…
",3.9,"Bengaluru, Karnataka",Data Scientist Advanced Analytics
17,"Hyderabad, Telangana+1 location",newData & Applied Scientist,Microsoft,,"
We are looking for a strong IC, who can lead/drive areas like crunching large scale data, pushing the limits of training techniques, pushing data in real time,…
",4.2,"Hyderabad, Telangana",Data & Applied Scientist
18,"Chennai, Tamil Nadu+1 location",newData Scientist,PayPal,,"
Passionate about generating insights from data to solve business problems.
Knowledge of data and visualization tools like SAS, Python, QlikView, Tableau.
",3.9,"Chennai, Tamil Nadu",Data Scientist
19,"Remote in Chennai, Tamil Nadu",newData Scientist - AI/ML (Phython),ORGware Technologies,,"
Appreciation of data modelling, software architecture and data structures and.
Bachelors or Masters in Computer Science or MathsStats from a reputed college…
",,"Chennai, Tamil Nadu",Data Scientist AIML Phython
20,"Bengaluru, Karnataka",newAssociate - Data Science,TheMathCompany,,"
Strong application knowledge on tools (R Programming /SAS/Python/SPSS etc.).
And techniques (Regression, Machine Learning, Classification, Time series etc.).
",2.0,"Bengaluru, Karnataka",Associate Data Science
21,"Pune, Maharashtra",Data Scientist,amdocs,,"
You will identify data sources, supervises the data collection process and crafts the data structure in collaboration with data experts (BI or big-data) and…
",3.8,"Pune, Maharashtra",Data Scientist
22,Remote,Data Scientist,CoRover,,"
Present information using data visualization techniques.
Undertake to preprocess of structured and unstructured data.
Knowledge of R, SQL, and Python.
",,,Data Scientist
23,"Noida, Uttar Pradesh",newData Scientist,Audviklabs,"₹5,00,000 - ₹7,00,000 a year","
Closely work with engineers, product Managers, data scientists to translate customer requests into useful product functionality.
",,"Noida, Uttar Pradesh",Data Scientist
24,"Bengaluru, Karnataka+1 location",newAdvanced Data Scientist,Honeywell,,"
Work experience / education in data science, data engineering and analytics.
Develop and maintain scalable data pipelines, infrastructure, API integrations to…
",3.7,"Bengaluru, Karnataka",Advanced Data Scientist
25,"Bengaluru, Karnataka+1 location",newData Scientist IV,HP,,"
Understanding of data structures, data modelling and software architecture.
Transform data science prototypes into machine learning systems.
",,"Bengaluru, Karnataka",Data Scientist IV
26,"Bengaluru, Karnataka",newSenior Data Scientist,Great Learning,"₹12,00,000 a year","
Experience in using jupyter notebooks and Python to manipulate data and draw insights from large data sets.
Create unique learning experiences that enable Great…
",3.7,"Bengaluru, Karnataka",Senior Data Scientist
27,"Mumbai, Maharashtra",newData Scientist,Arysta LifeScience Corporation,,"
Collaborate with senior data scientists in building and delivering analytics models.
Understanding of data engineering techniques and concepts like pilot…
",,"Mumbai, Maharashtra",Data Scientist
28,"Bengaluru, Karnataka",newData Scientist I/II,Philips,,"
Experience in statistical modelling, machine learning, data mining, unstructured data analytics and natural language processing.
",4.0,"Bengaluru, Karnataka",Data Scientist III
29,"Bengaluru, Karnataka",DATA SCIENTIST DEMAND FORECASTING,Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
3-6 years of experience independent projects outside coursework in time series forecasting, demand planning, pricing analytics, causality, promotions effect, AI…
",,"Bengaluru, Karnataka",DATA SCIENTIST DEMAND FORECASTING
30,"Bengaluru, Karnataka",newData Scientist - OrgSolutions,McKinsey & Company,,"
You will analyze and evaluate a wide range of data including data from human resources information systems, business metrics, survey assessments and publicly…
",4.3,"Bengaluru, Karnataka",Data Scientist OrgSolutions
31,"Mumbai, Maharashtra",newData Scientist,Ekeeda Pvt. Ltd,"₹700 - ₹1,500 an hour","
Clear doubts of students.
Provide assessments & assignments to students.
Conduct monthly Tests of students.
Mumbai, Maharashtra: Reliably commute or planning to…
",,"Mumbai, Maharashtra",Data Scientist
32,"Mumbai, Maharashtra",newData Scientist,Zepto,,"
Basic SQL with ability to fetch, transform data tables.
Design and run data backed experiments to improve process efficiency and create systems to capture them.
",,"Mumbai, Maharashtra",Data Scientist
33,"Bengaluru, Karnataka",newData Scientist,Walmart Global Tech India,,"
Direct the gathering of data, assessing data validity and synthesizing data into large analytics datasets to support project goals.
",,"Bengaluru, Karnataka",Data Scientist
34,"Kalyan Nagar, Bengaluru, Karnataka",Data Scientist,Client of Infra-Tech Consultants,"₹10,00,000 - ₹12,00,000 a year","
Experience manipulating data to build features, perform analysis etc.
The role includes building models, data analysis and interpretation, and applying known…
",,"Kalyan Nagar, Bengaluru, Karnataka",Data Scientist
35,"Mumbai, Maharashtra",newSenior Data Scientist,Brillio,,"
Experience using statistical computer languages (Python) to manipulate data and draw insights from large data sets.
",3.4,"Mumbai, Maharashtra",Senior Data Scientist
36,"Chennai, Tamil Nadu",Data Scientist,"BSRI Solutions Pvt Ltd.,","₹8,00,000 - ₹15,00,000 a year","
Understands the requirements from project teams, processes appropriate data sets, generates insightful reports, develops appropriate wireframes/visualization…
",,"Chennai, Tamil Nadu",Data Scientist
37,"Gurgaon, Haryana",Data Scientist,Webhelp,,"
Advanced knowledge of statistical techniques, data mining, big data and machine learning.
Identifying relevant data sources in existing internal and external…
",2.9,"Gurgaon, Haryana",Data Scientist
38,"Amritsar, Punjab",newData Scientist Intern,OXO Solutions,,"
Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
",,"Amritsar, Punjab",Data Scientist Intern
39,"Gurgaon, Haryana",newData Scientist,NOKIA,,"
As part of Algo-Augmented CM project, we are building a series of MVPs to augment the sourcing managers with analytics and data science apps.
",4.1,"Gurgaon, Haryana",Data Scientist
40,"Bengaluru, Karnataka","Data Scientist - Predictive Analysis, Time Series Forecastin...",Wipro Limited,,"
""As a Senior Consultant in one of the industry verticals, you are responsible for contribution to the functional design, architecture of the solution and…
",3.8,"Bengaluru, Karnataka",Data Scientist Predictive Analysis Time Series
41,"Bengaluru, Karnataka",newData Scientist,ABB,,"
Working with cross-functional and global teams to lead projects solving complex business problems using data science and own complete lifecycle of analytics…
",3.9,"Bengaluru, Karnataka",Data Scientist
42,"Ahmedabad, Gujarat",newData Scientist,Swastik Placement Agency,"₹30,000 - ₹70,000 a month","
Look for unstructured and structured data to extract meaningful insights.
Certified by a data analyst boot camp will be added advantage.
",,"Ahmedabad, Gujarat",Data Scientist
43,"Bengaluru, Karnataka+1 location",newData Scientist,Oracle,,"
Advanced ability to perform exploratory data analysis and data visualization skills.
Work with fellow data scientists & architects to build out and maintain all…
",3.8,"Bengaluru, Karnataka",Data Scientist
44,"Bengaluru, Karnataka",newData Scientist,Bosch Group,,"
Experience: At least 2 years of experience of professional data science.
You will be able to explore the full world of our business data platform to generate…
",4.1,"Bengaluru, Karnataka",Data Scientist
45,"Hybrid remote in Chennai, Tamil Nadu",newData Scientist,CredAvenue,,"
The Data Science team is responsible for providing data driven solutions on Cred Avenue utilizing data generated across the ecosystem.
Food is on the house.
",,"Chennai, Tamil Nadu",Data Scientist
46,"Bengaluru, Karnataka",newData Scientist,"JPMorgan Chase Bank, N.A.",,"
Help the LOB stakeholders innovate through data-driven decisioning by analyzing data from diverse data sources to create rich insights that enable better…
",3.8,"Bengaluru, Karnataka",Data Scientist
47,"Bengaluru, Karnataka",Data Scientist (Pricing Analytics),Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
3+ independent projects outside coursework in Pricing analytics, causality, promotions effect, AI/ML.
Also, experience of applying these in the Retail space.
",,"Bengaluru, Karnataka",Data Scientist Pricing Analytics
48,"Bengaluru, Karnataka",Data Scientist (Operation Research),Anzy Careers Private Limited,"₹13,00,000 - ₹24,00,000 a year","
2+ independent projects outside coursework in Optimization, Simulator Design and AI/ML.
Also, experience of applying optimization solvers in solving real-world…
",,"Bengaluru, Karnataka",Data Scientist Operation Research
49,"Bengaluru, Karnataka",newData Scientist Senior,FIS Global,,"
A deep understanding of Machine Learning algorithms, data, data challenges, quality issues and visualization techniques that allows you to do data story telling…
",3.4,"Bengaluru, Karnataka",Data Scientist Senior
50,"Mumbai, Maharashtra",Data Scientist,HyringNinja,"₹20,00,000 a year","
Good mathematical background and knowledge of data science, deep learning, machine learning, and artificial intelligence would be an added advantage.
",,"Mumbai, Maharashtra",Data Scientist
51,"Bengaluru, Karnataka",newSenior NLP Data Scientist,Shell,,"
Our team develops the advanced products and technologies Shell needs to meet customer demand.
As a Senior NLP Data Scientist, you will sit across project teams…
",3.9,"Bengaluru, Karnataka",Senior NLP Data Scientist
52,"Bengaluru, Karnataka",newPrincipal Data Scientist,Walmart Global Tech India,,"
Understand the business problem and develop data science based solution.
Lead the discovery phase of medium to large data science projects to come up with high…
",,"Bengaluru, Karnataka",Principal Data Scientist
53,"Chennai, Tamil Nadu",Data Engineer/Data Science with Python,Resource Tree,"₹1,09,996 - ₹5,00,220 a year","
Primary Skills: Python,Linux,SQL / PL SQL Secondary Skills: SQL / PL SQL Role Description: Data engineering role requires creating and managing technological…
",,"Chennai, Tamil Nadu",Data EngineerData Science Python
54,"Mumbai, Maharashtra",Manager - Financial Insights & Analytics (Data Scientist),Mahindra & Mahindra Ltd.,,"
Ability to handle big and complex data.
Understand and Implement algorithms and statistical models on technical tools such as R, Python.
",4.2,"Mumbai, Maharashtra",Manager Financial Insights & Analytics Data Scientist
55,"Bengaluru, Karnataka",Data Scientist-AI/ML,Synopsys,,"
4+ years of industry experience working as a data scientist/Engineer or similar.
You will work with domain experts to identify the most efficient way to collect…
",4.1,"Bengaluru, Karnataka",Data ScientistAIML
56,"Hyderabad, Telangana",newData Scientist,eNFLUENCE IT Services,,"
SAS model development experience as a secondary skill alongside Python skills.
Functional Area:Data Science & Analytics.
Employment Type:Full Time, Permanent.
",,"Hyderabad, Telangana",Data Scientist
57,"Pune, Maharashtra",newData Scientist,Coditation Systems,,"
Hands on experience in handling large data sets strongly preferred.
A Data Scientist who would take responsibility to help the team with building automated…
",,"Pune, Maharashtra",Data Scientist
58,"Temporarily Remote in Bengaluru, Karnataka",Decision Scientist,sharechat,,"
Experience finding, cleaning, and manipulating data to build large scale data sets.
2+ years of experience in data analysis, data science, decision science, or…
",4.5,"Bengaluru, Karnataka",Decision Scientist
59,"Chennai, Tamil Nadu",newData Scientist,Flex,,"
The role is response for all business data analysis.
Collect data and facts from all kinds of sources and conduct the analysis.
",3.9,"Chennai, Tamil Nadu",Data Scientist
60,"Mumbai, Maharashtra",Data Scientist,Avalor,"₹4,08,570 - ₹15,47,875 a year","
Good knowledge about unstructured data analysis methodologies(NLP, NLG).
Must have 1+ years of Experience in deep learning methods.
",,"Mumbai, Maharashtra",Data Scientist
61,"Bengaluru, Karnataka",newLead Data Scientist,Apar Technologies,"₹24,00,000 - ₹28,00,000 a year","
Strong knowledge of common data science toolkits like tools like R / Python.
Lead Data Scientist with minimum 6+ years hands-on Data Science experience and…
",3.9,"Bengaluru, Karnataka",Lead Data Scientist
62,"Bengaluru, Karnataka",newRevenue Managment - Data Scientist,"JPMorgan Chase Bank, N.A.",,"
3+ years experience doing quantitative data analysis, ideally in online payments industry.
Excellent communication and presentation skills, and proven ability…
",3.8,"Bengaluru, Karnataka",Revenue Managment Data Scientist
63,"Delhi, Delhi",newData Scientist,Geninvo,"₹18,00,000 - ₹24,00,000 a year","
Advising/mentoring data scientists and business partners on applying NLP in their work.
Experience with data visualization libraries such as Matplotlib, plotly,…
",,"Delhi, Delhi",Data Scientist
64,"Bengaluru, Karnataka",Associate Professional - Data Scientist / Analytics,Sutherland,,"
Should have hands on experience in one of the programming tools for over 4- 8 yrs: R, Python (preferably Python).
Nice to have: Text Analytics experience.
",3.6,"Bengaluru, Karnataka",Associate Professional Data Scientist  Analytics
65,"Chennai, Tamil Nadu",newData Science Analyst,Shell,,"
Passion for data with strong analytical mindset and focus on drilling data for commercial insight.
Need to identify relevant data sources available and pro…
",3.9,"Chennai, Tamil Nadu",Data Science Analyst
66,"Bengaluru, Karnataka",Data Scientist-CAI,HDFC Bank,,"
Hands-on experience in data wrangling (ETL), feature engineering, building and deploying scalable machine learning algorithms.
",3.9,"Bengaluru, Karnataka",Data ScientistCAI
67,"Gurgaon, Haryana",Data Scientist,Impetus Technologies,,"
Solution creation from structured/unstructured data.
Machine Learning model development engineers with Natural Language Processing(NLP) and Computer Vision,…
",4.2,"Gurgaon, Haryana",Data Scientist
68,"Hyderabad, Telangana",newAI & ML Engineer,Techneurons Consulting Solutions,,"
We are looking for Machine Learning Engineers having understanding in ML/AI/DL to help us create Map related AI products.
",3.3,"Hyderabad, Telangana",AI & ML Engineer
69,"Bengaluru, Karnataka",newRisk Analyst 2,PayPal,,"
Leveraging data analysis tools and technologies.
Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to…
",3.9,"Bengaluru, Karnataka",Risk Analyst 2
70,"Chennai, Tamil Nadu","Prin, Data Scientist",BNY Mellon,,"
Excellent analytical and big-data skills.
Previous experience at next-gen analytics or big-data fintech companies strongly preferrece.
",3.5,"Chennai, Tamil Nadu",Prin Data Scientist
71,"Chennai, Tamil Nadu",newBusiness Analytics and Reporting specialist,NOKIA,,"
Identify gaps in data collection and support data collection improvements resulting in less manual work and up-to-date information.
",4.1,"Chennai, Tamil Nadu",Business Analytics Reporting specialist
72,"Hyderabad, Telangana",newData Scientist V,IGT,,"
Professional experience working with database developers and data engineers to ensure the data points are optimally tuned for machine learning algorithms and…
",3.7,"Hyderabad, Telangana",Data Scientist V
73,Remote,Data Scientist (experienced),Codvo.ai,"₹4,21,657 - ₹16,47,428 a year","
Familiar with modern data analytics architecture and data engineering technologies.
Own complex data science workflows with the Data Engineering team.
",,,Data Scientist experienced
74,"Bengaluru, Karnataka",Data Scientist - All Levels,Greenizon Agritech Consultancy,,"
Presenting information using data visualization techniques.
Identifying valuable data sources and automate collection processes.
",,"Bengaluru, Karnataka",Data Scientist All Levels
75,"Bengaluru, Karnataka",Data Scientist,Anzy Careers Private Limited,"₹20,00,000 a year","
Should have a proven track record of co-ordinating with product managers, data engineers and other stake-holders.
Good proficiency in Python, Scala and Pyspark.
",,"Bengaluru, Karnataka",Data Scientist
76,"Chennai, Tamil Nadu+1 location",Clinical Data Programming Scientist,Accenture,,"
Designation: Clinical Data Programming Scientist.
Years of Experience: 5-8 years.
Employees under this span will be a part of one of the sub-offerings -…
",4.0,"Chennai, Tamil Nadu",Clinical Data Programming Scientist
77,"Bengaluru, Karnataka",Data Scientist,Société Générale,,"
The Data Scientist will support our software developers, database architects, data analysts and data engineers on data initiatives and will ensure optimal data…
",3.8,"Bengaluru, Karnataka",Data Scientist
78,"Bengaluru, Karnataka",Data Scientist,Aisera,,"
Own a large part of the process to enforce data governance and privacy while improving data quality and reliability.
Excellent knowledge of NLP/ML frameworks.
",,"Bengaluru, Karnataka",Data Scientist
79,"Noida, Uttar Pradesh",Data Science / Machine Learning Trainer,UniConverge Technologies Pvt. Ltd.,"₹4,08,162 - ₹16,18,408 a year","
Give training on Data Science, Machine Learning and AI.
Job Types: Full-time, Part-time, Freelance.
Part-time hours: 12 per week.
",3.0,"Noida, Uttar Pradesh",Data Science  Machine Learning Trainer
80,"Bengaluru, Karnataka",newLead Machine Learning Scientist,HP,,"
Understanding of data structures, data modelling and software architecture.
Work alongside data scientists and product owners to improve aspects of their lines…
",,"Bengaluru, Karnataka",Lead Machine Learning Scientist
81,"Coimbatore, Tamil Nadu+1 location",Data Scientist,ZF,,"
You bring strong knowledge in data query languages like SQL and languages for data processing & process automation like Python, PowerShell.
",3.9,"Coimbatore, Tamil Nadu",Data Scientist
82,"Bengaluru, Karnataka",Data Scientist - Signal Processing,Mercedes-Benz Research and Development India...,,"
Have experience in handling data workflow and monitoring big data application.
Familiarity with data engineering is also a must.
",4.0,"Bengaluru, Karnataka",Data Scientist Signal Processing
83,"Delhi, Delhi",newLead Data Scientist,MedTourEasy,"₹13,20,000 - ₹19,00,000 a year","
Manage a team of data scientists, machine learning engineers and big data specialists.
Ensure data quality and integrity.
Interpret and analyze data problems.
",,"Delhi, Delhi",Lead Data Scientist
84,"Bengaluru, Karnataka",Data Scientist: Artificial Intelligence,IBM,,"
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and…
",3.9,"Bengaluru, Karnataka",Data Scientist Artificial Intelligence
85,"Chennai, Tamil Nadu",Data Science Intern with Python,Resource Tree,"₹2,26,513 - ₹5,00,000 a year","
Primary Skills: Python,Linux,SQL / PL SQL Secondary Skills: SQL / PL SQL Role Description: Data engineering role requires creating and managing technological…
",,"Chennai, Tamil Nadu",Data Science Intern Python
86,"Bengaluru, Karnataka",newAssociate Data Scientist,Shell,,"
Collaborate with a broad community of data scientists and data engineers.
Assure data quality and data integrity.
Should be able to handle complex SQL queries.
",3.9,"Bengaluru, Karnataka",Associate Data Scientist
87,"Bengaluru, Karnataka",Data Scientist,BitGo,,"
Familiarity with data warehouse development and best practices.
2+ years industry experience in data analytics field for those with Masters degree / 3+ years…
",,"Bengaluru, Karnataka",Data Scientist
88,"Temporarily Remote in Mumbai, Maharashtra",Machine Learning Scientist,Wadhwani AI,,"
Ideal candidates should have a strong research background and be adept at a variety of data mining/analysis methods and tools, building and implementing models,…
",,"Mumbai, Maharashtra",Machine Learning Scientist
89,"Chennai, Tamil Nadu",NLP Engineer and Data Mining Engineer,Hubino,,"
Strong knowledge in data structures and algorithms.
3+ years of work experience in data.
Knowledge of association mining, named entity recognition and vector…
",,"Chennai, Tamil Nadu",NLP Engineer Data Mining Engineer
90,"Bellandur, Bengaluru, Karnataka",Associate Data Scientist,Airtel India,,"
Incident management & Change management of around 400 NMS/EMS instances.
Major upgrades & Bug fixing of 400 NMS/EMS instances.
",4.1,"Bellandur, Bengaluru, Karnataka",Associate Data Scientist
91,"Bengaluru, Karnataka+1 location",Data Scientist,Ericsson,,"
Decide approach for data science.
Design & perform data science experiment.
Convert data into actionable insights.
Synthesize problems into data question(s).
",4.1,"Bengaluru, Karnataka",Data Scientist
92,"Bengaluru, Karnataka",Data Scientist,RELX,,"{Empty} RELX is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed,…",,"Bengaluru, Karnataka",Data Scientist
93,"Remote in Noida, Uttar Pradesh",newData Scientist,HashiCorp,,"
Manage and analyze raw data in order to build algorithms to provide data-driven business insights and high-impact ML models to generate significant business…
",,"Noida, Uttar Pradesh",Data Scientist
94,"Mumbai, Maharashtra",newData Analytics Lead,BIG IT JOBS,"₹1,00,000 - ₹2,20,000 a month","
Overall 10 + years’ experience in Data Analytics and 4 – 8 Years of hands-on technical experience in using data analytics tools, data extraction, data…
",,"Mumbai, Maharashtra",Data Analytics Lead
95,"Mumbai, Maharashtra+1 location",newData Scientist,Tech mahindra,,"
10+ years of experience working in a data science position Experience with common programming languages and tools for data science like Python Experience…
",3.7,"Mumbai, Maharashtra",Data Scientist
96,"Bengaluru, Karnataka",Data Scientist - I/II,sharechat,,"
Apply state of the art in the relevant research domains to make significant contributions to the feature roadmap of the ShareChat app in the aforementioned…
",4.5,"Bengaluru, Karnataka",Data Scientist III
97,"New Delhi, Delhi",Data Scientist,WinZO,,"
Interpret data, analyze results using statistical techniques and effectively communicate actionable.
Knowledge on Big data tools, CV, DL is a plus.
",,"New Delhi, Delhi",Data Scientist
98,Temporarily Remote in India,Associate Machine Learning Scientist,Wadhwani AI,,"
In order to apply machine learning for social good, you will need to understand user challenges and their context, curate and transform data, train and validate…
",,,Associate Machine Learning Scientist
99,"Pune, Maharashtra",Data Scientist,CityLink Technology Solutions,,"
Analyze data for trends and patterns, and Interpret data with a clear objective in mind.
Present information using data visualization techniques.
",,"Pune, Maharashtra",Data Scientist
100,India,AI - Machine learning/ Data Analytics,Ignitarium Technology Solutions,,"
Understanding of data structures, data modeling and software architecture.
Proven experience as a Machine Learning Engineer or similar role.
",5.0,,AI Machine learning Data Analytics
101,"Bengaluru, Karnataka",Data Scientist,Paktolus,,"
Should have experience in building & designing data warehouses.
Should have experience in working with API’s - deploying models, extracting data.
",,"Bengaluru, Karnataka",Data Scientist
102,"Bengaluru, Karnataka",Data Science People Analytics,Unisys,,"
Apply your expertise in people research, quantitative analysis, data science and data visualization.
Provide insight on how to turn data insights into concrete…
",3.6,"Bengaluru, Karnataka",Data Science People Analytics
103,"Mumbai, Maharashtra",Head of Data Analytics,SelFin India Financial Services,,"
Build a world-class data analytics practice for the organization in the areas of business intelligence, data analytics and data science.
",,"Mumbai, Maharashtra",Head Data Analytics
104,"Bengaluru, Karnataka+1 location",Data Scientist II,ADCI - Karnataka,,"
Demonstrate understanding and experience with relational data sets, data warehouses, data mining and data analysis techniques.
",3.5,"Bengaluru, Karnataka",Data Scientist II
105,"Pune, Maharashtra",Data Scientist,JMS ADVISORY SERVICES PVT.LTD,"₹3,00,000 - ₹12,00,000 a year","
Analyze data to develop predictive models.
Create, manage, and maintain analytically rigorous data.
Implement processes that improve and lead to greater data…
",,"Pune, Maharashtra",Data Scientist
106,"Hyderabad, Telangana+1 location",Data Scientist,Orcapod,,"
Someone who has traversed the Analytics &AI value chain, having moved the clients from data to insights.
Hands-on with application of data science to industrial…
",,"Hyderabad, Telangana",Data Scientist
107,"Bengaluru, Karnataka",newLead Data Scientist,Honeywell,,"
Manage and mentor junior data scientists to create cutting edge data-driven systems and technologies that can considerably impact the business outcomes.
",3.7,"Bengaluru, Karnataka",Lead Data Scientist
108,"Bengaluru, Karnataka+1 location",Data Scientist,Ecolab,,"
Solving data-intensive problems using industry standard data analytics frameworks and tools.
Large scale data extraction/mining, data cleansing, diagnostics,…
",3.5,"Bengaluru, Karnataka",Data Scientist
109,"Bengaluru, Karnataka",Data Scientist,Cytiva,,"
Present information using data visualization techniques.
Build POC’s using existing data sources & discover trends and patterns, providing actionable insights…
",,"Bengaluru, Karnataka",Data Scientist
110,Remote,newRemote Data Scientist (Python),Turing,,"
At least 3+ years of relevant experience as a data scientist.
The company is providing businesses with the benefits of an in-house data science team at a…
",,,Remote Data Scientist Python
111,"Remote in Noida, Uttar Pradesh",Data Science Trainer,Clevered,₹200 an hour,"
1.Candidate must have completed his/her studies.
The candidate must be have done projects in these areas: -.
Neural Networks (ANN, CNN,RNN).
",,"Noida, Uttar Pradesh",Data Science Trainer
112,"Chennai, Tamil Nadu",Data Scientist - Operations Research,Ford India Pvt Ltd,,"
Expertise in working with large data sets and developing algorithms with high computational complexity to provide scalable and efficient solutions.
",4.1,"Chennai, Tamil Nadu",Data Scientist Operations Research
113,Remote,Data Scientist,Indium Software,,"
# Present information using data visualization techniques.
# Experience using statistical computer languages (Python, SQL, etc.) to manipulate data and draw…
",3.7,,Data Scientist
114,"Ahmedabad, Gujarat",Data Scientist,ProtocolZone Private Limited,"₹3,00,000 - ₹6,00,000 a year","
Masters in Statistics, Mathematics or any other masters with very good analytical skills, Phd in Mathematics or Statistics.
Total work: 1 year (Preferred).
",,"Ahmedabad, Gujarat",Data Scientist
115,+1 locationRemote,newIntern- Data and Analytics,ChargePoint,,"
Proven record managing data cleansing and quality.
Strong Computer Science, Data Science or data analysis background.
Senior Director of Data Management.
",3.4,locationRemote,Intern Data Analytics
116,"Mumbai, Maharashtra",Data Scientist,Boppo Technologies,,"
Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.
",,"Mumbai, Maharashtra",Data Scientist
117,"Gurgaon, Haryana",Data Scientist,Lenskart,,"
Leverage customer data to build churn models , propensity models etc.
Leverage customer chat data for applications in text analytics such as sentiment analysis,…
",3.5,"Gurgaon, Haryana",Data Scientist
118,Remote,Data Scientist,Blazeclan Technologies,,"
This is a remote position.
Looking for a candidate who has a strong understanding of ML/AI processes from understanding Client's Business Requirements to…
",3.4,,Data Scientist
119,"Thiruvananthapuram, Kerala",Data Science Internship,Oracuz Infotech Pvt Ltd Company,,"
We are providing six months internship for Data Scientist.
After the training we will hire the candidates through our company.
Any Degree candidates can apply.
",,"Thiruvananthapuram, Kerala",Data Science Internship
120,"Bengaluru, Karnataka",Data Scientist,Atonarp,,"
Demonstrate that your ideas ‘work’ - implement your ideas on data.
Powered by a unifying software platform and breakthrough innovations in optical and mass…
",,"Bengaluru, Karnataka",Data Scientist
